fips_full,rural_urban,avg_ratio
01001,urban,1.7888088821806474
01003,urban,1.5972739314408781
01005,rural,1.3243904318317525
01007,urban,0.7409394895202944
01009,urban,0.6866389516596959
01011,rural,2.4647628020866765
01013,rural,1.2527899459798981
01015,urban,3.6299229234202937
01019,rural,1.0853037397507894
01021,urban,0.5501118695252172
01025,rural,0.6159588221326413
01027,rural,0.8692153651015143
01031,rural,4.192919432618321
01033,urban,1.9318312319789712
01035,rural,0.8373058751541851
01039,rural,1.7337506912197262
01041,rural,1.4549352455352824
01043,rural,1.815725769673448
01045,rural,0.7434995275302326
01047,rural,3.7085666396325694
01049,rural,3.346795289946738
01051,urban,0.45604083420628205
01053,rural,0.9832738745820431
01055,urban,4.290032445739512
01057,rural,1.0250975416564976
01059,rural,1.3530220238566035
01061,urban,0.9673951641143559
01063,urban,0.7896662358488791
01065,urban,0.4299569333206038
01069,urban,2.920798016174218
01071,rural,1.1202900253689878
01073,urban,3.289615335447266
01077,urban,2.736195034401235
01079,urban,0.608013812572805
01081,urban,0.9078571725784069
01083,urban,1.2157938065318543
01089,urban,2.6894066240199486
01091,rural,0.8615183175591881
01093,rural,1.1846182845708961
01095,rural,0.7163523287787823
01097,urban,1.7399743701614407
01099,rural,0.512733725440198
01101,urban,2.048557182228526
01103,urban,1.2411104791944
01107,urban,0.542593131998078
01109,rural,1.003745407821577
01111,rural,0.5861034366651825
01113,urban,1.559984516537578
01115,urban,1.7604231502101233
01117,urban,3.320711956481908
01119,rural,1.0961117890647265
01121,rural,2.2280794398383215
01123,rural,0.5125281622966497
01125,urban,1.628015816771628
01127,urban,4.194989077253321
01129,rural,0.6415970943231887
01131,rural,0.21817440642868718
01133,rural,1.6076205999368234
04001,rural,0.4798285427847614
04003,urban,0.5517506751449287
04005,urban,1.0038405302432882
04007,rural,0.8746933913121667
04009,rural,0.4111269105510595
04013,urban,2.7094168892845794
04015,urban,3.3996053080034736
04017,rural,0.9908757576038114
04019,urban,2.877087304498515
04021,urban,1.5525815435933552
04023,rural,1.3618368511889478
04025,urban,1.5825750366434344
04027,urban,1.4527838671446502
05001,rural,0.5745384727956252
05003,rural,0.5640668700587422
05005,rural,1.082949591398845
05007,urban,1.8351386464927257
05009,rural,0.8962691857477746
05011,rural,0.4984342820543479
05015,rural,0.37988392982833546
05017,rural,0.7168478836767522
05019,rural,0.730400739157197
05021,rural,0.4837475476794551
05023,rural,0.3878552586124203
05027,rural,0.6059822007112287
05029,rural,0.38371907550054396
05031,urban,2.4588153149105656
05033,urban,1.3610329385492423
05037,rural,0.3693627152971638
05039,rural,0.1404874689822272
05041,rural,0.380250173714087
05043,rural,0.9529507398130488
05045,urban,1.8671276633818858
05047,rural,0.5909181310612204
05049,rural,0.7233595338673459
05051,urban,2.503832807566795
05055,rural,0.9331981109937637
05057,rural,1.5507661909717718
05059,rural,1.3315010460031567
05061,rural,0.4482731991582852
05063,rural,1.0080631408835399
05065,rural,0.6778427014381871
05067,rural,1.046148542929528
05069,rural,1.970652506302902
05071,rural,0.6718292371734388
05075,rural,0.30236707283329695
05081,urban,0.18928448381294868
05083,rural,0.5862643482905792
05091,urban,2.151786953605295
05093,rural,0.982065978108251
05103,rural,0.8401851882945367
05107,rural,1.6251942388369627
05113,rural,0.6899073303083714
05115,rural,2.964166118177323
05119,urban,2.2146472278956466
05121,rural,0.770309285224914
05123,rural,1.8714328450038196
05125,urban,1.52255651329934
05127,rural,0.5090494556358014
05131,urban,2.548762498365369
05137,rural,0.6897227824313725
05139,rural,3.9157443911623053
05141,rural,0.5773760038217609
05143,urban,2.999153058083071
05145,rural,2.1921450063097887
05149,rural,0.9885837625601359
06001,urban,2.7595579462849535
06005,rural,1.3654816239264858
06007,urban,1.5938478916675594
06009,rural,0.8621336189606941
06011,rural,1.1827442471139638
06013,urban,2.153351581778997
06015,rural,1.1831191969024026
06017,urban,1.577286258373927
06019,urban,1.6888867259824094
06021,rural,0.8800630083307341
06023,rural,1.2330499855490478
06025,urban,1.4532368714282629
06027,rural,0.39160445727177856
06029,urban,1.859194073819556
06031,urban,1.4769508778145803
06033,rural,0.7585631358892185
06035,rural,0.5106947511924634
06037,urban,3.0999415090780835
06039,urban,1.448819754730952
06041,urban,2.213915762802189
06043,rural,0.5005299362064877
06045,rural,1.1419818433947024
06047,urban,1.7585243771562038
06049,rural,1.1141065365033558
06051,rural,0.3650189283128447
06053,urban,2.002500537549903
06055,urban,2.4680511309933326
06057,rural,1.1811844328129
06059,urban,3.27905364400579
06061,urban,1.6975099265980824
06063,rural,0.36031778269205006
06065,urban,3.342493699656352
06067,urban,2.501968192654426
06069,urban,0.9116700054650858
06071,urban,2.8552837985133235
06073,urban,3.0473597338438836
06075,urban,1.9317419274550136
06077,urban,3.208374502013718
06079,urban,3.6487387002185483
06081,urban,1.9021943657940448
06083,urban,2.646321747534933
06085,urban,3.5065431105845946
06087,urban,2.365500869598947
06089,urban,3.3217784709784026
06093,rural,0.6384495991256354
06095,urban,2.319892513568502
06097,urban,1.6519172987860806
06099,urban,2.995031127025434
06101,urban,0.9527970377304111
06103,rural,1.2662679929144947
06105,rural,0.5428678526664193
06107,urban,2.319015889022188
06109,rural,1.4015580373651542
06111,urban,2.4378134958825695
06113,urban,1.5630878842328166
06115,urban,2.38078721181894
08001,urban,3.272914978035323
08003,rural,0.5621349386989095
08005,urban,3.6352626561347754
08007,rural,0.16724724582071498
08009,rural,0.6100425720487647
08013,urban,2.0472003425499063
08014,urban,1.1465874873709923
08015,rural,0.2636386334083388
08017,rural,0.16950366249689072
08021,rural,0.3631261803021838
08029,rural,0.5194395594675502
08031,urban,3.3566529053125165
08035,urban,1.7843208415734029
08037,rural,0.4901174016682073
08041,urban,3.168864659998037
08043,rural,0.723355026549857
08045,rural,0.567830207504532
08049,rural,0.11207201321654778
08051,rural,0.23180774516603223
08055,rural,0.4770597130555938
08059,urban,2.320341170555045
08061,rural,0.2975678644247783
08067,rural,0.9690090183527479
08069,urban,1.2724877655964513
08071,rural,0.325430553427685
08073,rural,0.27579695257377473
08075,rural,0.3879465748847705
08077,urban,1.5641058759860382
08081,rural,0.474834171382148
08083,rural,0.34693703859514563
08085,rural,0.6255633921083803
08087,rural,0.6125807527628542
08089,rural,0.4982044319392151
08095,rural,0.36775271300022594
08097,rural,0.22795807912893787
08099,rural,0.2182084431647755
08101,urban,3.4276046851610085
08103,rural,0.4206264843177614
08105,rural,0.26634503025303397
08107,rural,0.4267910662078928
08115,rural,0.3747938207837833
08117,rural,0.4657180845633124
08119,urban,0.36351196018023474
08123,urban,1.4076008472229
08125,rural,0.2802791364388278
10001,urban,1.4894524413960213
10003,urban,2.051837337478295
10005,rural,0.9776167539177697
12001,urban,3.4475434624635817
12003,urban,6.676561439095897
12005,urban,2.523709178631852
12007,rural,1.215393382858641
12009,urban,2.913436790575509
12011,urban,3.169659863662214
12013,rural,0.43160275001937337
12015,urban,6.457578662275696
12017,urban,6.193738378805936
12019,urban,6.23697829440247
12021,urban,3.1623358486098962
12023,rural,3.16803463441311
12031,urban,3.079867560106255
12033,urban,3.220380130721921
12035,urban,1.6762372507556247
12037,rural,0.18369466349577807
12039,urban,28.977270682694943
12045,rural,0.574079147429489
12049,rural,1.0082536550096732
12051,rural,0.2227488112214858
12053,urban,4.672079622832838
12055,urban,2.5450386756926777
12057,urban,4.018746995372286
12059,rural,0.5640621608844475
12061,urban,2.528290901829682
12063,rural,0.5609676584193176
12069,urban,2.785586187269707
12071,urban,3.1270826880719134
12073,urban,2.9218023457797146
12081,urban,4.305078338634762
12083,urban,3.714084064313723
12085,urban,2.641931599245758
12086,urban,3.498299667692779
12087,rural,0.7420459868472974
12089,urban,1.666582404175967
12091,urban,4.596782538833769
12093,rural,3.5604651228014865
12095,urban,3.1187898971629213
12097,urban,4.1090240792279
12099,urban,4.771106429647224
12101,urban,4.595335812972514
12103,urban,3.8365266979331207
12105,urban,3.490241019243168
12107,rural,4.187855177906452
12109,urban,2.3499360495941053
12111,urban,4.92704846526862
12113,urban,3.317933466047735
12115,urban,3.414903103459444
12117,urban,3.3521158306673215
12119,urban,3.242838393445887
12121,rural,1.5296900626961225
12123,rural,0.31912618418455396
12125,rural,0.9372517377208783
12127,urban,2.6318976776617897
12131,urban,1.2567981996920456
12133,urban,0.6463088993867961
13001,rural,0.7857870722910187
13005,rural,1.029277218643894
13009,rural,1.3332886880532986
13013,urban,1.531500700919509
13015,urban,4.286544986848685
13017,rural,0.7772909484071228
13019,rural,1.0993294591014044
13021,urban,3.400136934045107
13023,rural,0.4410847643522559
13027,urban,0.9201482782738344
13031,rural,2.700005488018537
13033,urban,0.5255313801643745
13035,urban,0.8687452617663188
13039,rural,0.7600592781881785
13043,rural,0.6029115185996791
13045,urban,1.2042969910446126
13051,urban,2.780057308455217
13057,urban,1.9061778310786797
13059,urban,2.400993171636997
13063,urban,2.7841774205267913
13065,rural,0.57037790902228
13067,urban,1.9187157145235474
13069,rural,1.1636952276350034
13071,rural,1.083670751622651
13075,rural,0.6954430428974308
13077,urban,1.7576232468955024
13081,rural,0.8868496914140017
13087,rural,0.8346125424399695
13089,urban,2.2048045733795787
13091,rural,0.9371091402835994
13095,urban,1.3583582040397437
13097,urban,2.481379570901128
13099,rural,0.9346272561020639
13103,urban,0.4384472168224673
13105,rural,0.547453391944979
13107,rural,0.9308284204573374
13109,rural,0.9845921694354376
13111,rural,1.7478505811326408
13115,urban,3.372555849365828
13117,urban,1.931978043329665
13119,rural,1.0310701842594372
13121,urban,2.6819487107804605
13127,urban,1.404526140315138
13131,rural,0.7174026161704663
13133,rural,0.6924096858321578
13135,urban,2.3199521661178126
13137,rural,0.8115979659478528
13139,urban,2.193681293803065
13143,urban,0.46719047267234337
13151,urban,2.1943237193748204
13153,urban,1.4021630489147001
13155,rural,0.84881042711869
13157,rural,0.8480566632066653
13159,urban,0.5086974616272917
13161,rural,1.0831352372654035
13163,rural,0.350303047644872
13165,rural,0.6580203978969368
13173,urban,0.737652615831782
13175,rural,3.953036453487699
13179,urban,0.6029805458448944
13185,urban,1.5293024922389324
13189,urban,0.7546648762648451
13193,rural,1.4700246182792625
13199,urban,1.903749866821179
13201,rural,0.6265648447538765
13205,rural,0.8261083131909246
13207,urban,0.7827053179357013
13211,urban,0.4597605754154106
13213,urban,0.7498646212387666
13215,urban,1.8838170976259778
13217,urban,2.1264664603291
13223,urban,2.1143339025572123
13225,urban,0.7336001113009903
13227,urban,1.6595301628703798
13233,rural,0.44695996832271145
13235,rural,0.6097852550097573
13237,rural,0.3432685965341518
13241,rural,0.48777023655403695
13243,rural,0.5314280808403259
13245,urban,3.020134597092861
13247,urban,2.8377342207491822
13251,rural,0.6455925244127332
13253,rural,0.871961124572179
13255,urban,3.20213657180899
13257,rural,0.6818464035707028
13261,rural,1.1601173936559286
13267,rural,1.9076725460835526
13275,rural,1.309035432438987
13277,rural,1.0716501493749306
13279,rural,0.8404836062937519
13281,rural,0.6422247899324101
13285,rural,2.1244231847615267
13291,rural,0.6622341253499504
13293,rural,1.2422603831223908
13297,urban,2.4285696758201856
13299,rural,3.1720181682095956
13303,rural,0.424928105837948
13305,rural,1.0546582599898247
13313,urban,1.6955912159597912
13317,rural,0.45403047636341787
13321,urban,0.5679117207240402
15001,rural,1.0106953064402344
15003,urban,1.2935338153173515
15007,rural,0.9431297609118866
15009,urban,0.8879975810874766
16001,urban,1.5443409316878849
16005,urban,1.4922492785756003
16007,rural,0.42793139278255515
16009,rural,0.21426114187032996
16011,rural,1.3645780676684793
16013,rural,0.4213005128247763
16017,rural,0.3445577767636259
16019,urban,0.2194744105737311
16021,rural,0.3441135493526498
16023,urban,0.043289059365917336
16027,urban,1.1694682551376914
16029,rural,0.2741979645511303
16031,rural,0.5343134758820515
16035,rural,0.4012323374540451
16039,rural,0.5079551803625846
16041,urban,0.553996715839524
16045,urban,0.1907895994332061
16047,rural,0.2669608301490612
16049,rural,0.24764697581613726
16053,urban,0.470924874339189
16055,urban,1.4318142622553471
16057,rural,0.35307322844143646
16059,rural,0.24079323922289167
16061,rural,0.284022650729803
16065,rural,0.5360675644405664
16067,rural,0.36660510294578685
16069,urban,0.9850691976593027
16071,rural,0.39919205932907825
16077,rural,0.3731588675218616
16079,rural,0.23452818954470905
16081,rural,0.1512953021611426
16083,urban,1.0314338014152227
16085,rural,0.2072968859151026
16087,rural,0.2705322395571925
17001,rural,1.7541378071237723
17005,urban,0.4901776820395611
17011,rural,0.4645514228789931
17019,urban,1.7444214312751156
17021,rural,0.2858173144085878
17025,rural,0.33885393318308493
17027,urban,0.45881872877898217
17029,rural,0.7527942275164193
17031,urban,2.1339074970543797
17033,rural,0.31263982023354087
17037,urban,2.4292136721838067
17043,urban,1.7276477832155337
17045,rural,0.16064671063464864
17049,rural,0.649559792811378
17051,rural,0.47180302680609226
17053,urban,0.5489975079429564
17055,rural,0.16163623866476548
17057,rural,0.6181615257371706
17061,rural,0.14379015686413055
17063,urban,0.9904712067203298
17065,rural,0.46400466078780545
17067,rural,0.29941406257713865
17069,rural,0.40049904291722893
17073,urban,0.27189006689168754
17075,rural,0.4362174866103086
17077,rural,0.14207238191835925
17081,rural,1.3659907077524849
17083,urban,0.26889324686843963
17085,rural,0.40599228901099504
17089,urban,2.40984724133411
17091,urban,2.7207865042278168
17095,rural,1.6523942601927382
17097,urban,2.2987134151588084
17101,rural,0.2344381598088217
17103,rural,0.8867762802340525
17105,rural,0.9407736644278779
17107,rural,0.4155749964012159
17109,rural,0.5320847715421613
17113,urban,1.5992755923844129
17115,urban,1.3420108626909446
17117,urban,0.24581798464285476
17119,urban,1.6407600743485475
17121,rural,0.7894813121774304
17125,rural,0.20131709594975714
17127,urban,0.28954380432999904
17131,urban,0.15419232774346497
17135,rural,0.29385696148366913
17137,rural,1.030982490237517
17141,rural,0.14994520131128555
17143,urban,2.289892140364128
17145,rural,0.22411587259546847
17147,urban,0.23553332020444745
17149,rural,0.31082844415296734
17157,rural,0.5380665163728297
17159,rural,0.7593971427122305
17161,urban,1.0026049472219312
17163,urban,1.2646715018022545
17165,rural,0.46832140392792415
17167,urban,2.073900387018306
17169,rural,0.10023518634768505
17173,rural,0.32518663455108054
17177,rural,1.1207503789157625
17179,urban,1.0174150063253795
17181,rural,0.5253164317297226
17183,rural,1.1965731148040828
17185,rural,0.5309874156994493
17187,rural,0.1883787419301455
17189,rural,0.20006277299395742
17191,rural,0.45604808818077497
17195,rural,0.482865222324834
17197,urban,1.7662648859150036
17199,rural,2.2504301634588773
17201,urban,1.7922738234330107
17203,urban,0.2732227756701181
18001,rural,0.40139979697804995
18003,urban,2.2378961430083883
18005,urban,0.9067288369424154
18009,rural,0.39333468697448265
18011,urban,0.6219641666120584
18017,rural,0.283389696400541
18019,urban,1.976829410065615
18021,urban,0.15863639274747401
18023,rural,0.3211435250728771
18027,rural,0.6989260482343302
18029,urban,0.7773459269305736
18031,rural,0.2793698460012446
18033,rural,0.7139657977775141
18035,urban,1.7402439660823958
18037,rural,0.5349023654926204
18039,urban,0.8854834184791027
18041,rural,0.41978756085692825
18043,urban,1.9306765901454677
18049,rural,0.3910467269150184
18051,rural,0.18310595033894556
18053,rural,0.587539627673947
18055,rural,0.29890511217650323
18057,urban,1.3618073996896505
18059,urban,0.5008432509663072
18061,urban,0.5623292319448033
18063,urban,1.0764549987010683
18065,rural,0.7139562342647745
18067,urban,1.3060274941829826
18069,rural,0.687164968807959
18071,rural,0.42970604460562234
18073,urban,0.24213846503418246
18075,rural,0.4663212099798349
18077,rural,0.34292206277709064
18079,rural,0.13628726614608863
18081,urban,1.50189749723134
18083,rural,0.8879558950748845
18085,rural,0.8738824177404887
18087,rural,0.5797729698932524
18089,urban,2.2556419164253425
18093,rural,0.49221281498382163
18095,urban,0.7311111400322
18097,urban,1.849039625176146
18099,rural,1.0794000360306717
18103,rural,1.5167645411257475
18105,urban,1.684337203365732
18113,rural,0.44464287804140207
18117,rural,0.2530199518384502
18123,rural,0.43100081559875747
18127,urban,1.6363513279968855
18131,rural,0.40590511414590946
18133,rural,0.29290831730922895
18135,rural,0.372889901809467
18137,rural,0.26506888598048917
18139,rural,0.18596742329006616
18141,urban,1.6763743130711375
18143,rural,0.6642334884507989
18145,urban,0.6278861231908924
18149,rural,0.7391784052828235
18151,rural,0.35784795285654036
18153,urban,0.3598090035020175
18157,urban,1.5295378571900031
18159,urban,0.5575436850101366
18163,urban,1.77992281732347
18165,urban,0.3429233780041951
18167,urban,1.522599131363205
18169,rural,0.3841162579832055
18171,urban,0.4389953349026886
18173,urban,0.8630519675025178
18175,urban,0.09079928319397981
18177,rural,0.4777298566350813
18179,urban,1.6013867032760754
18181,rural,0.35918210201621503
18183,urban,0.5675213334869945
19001,rural,0.08153753166647582
19003,rural,0.12450104322599982
19005,rural,0.4368597519687768
19007,rural,0.16460057749230667
19009,rural,0.10267327828962783
19011,urban,0.25886204831481147
19013,urban,0.8743595221464431
19015,urban,0.20904500500300743
19017,urban,0.2031383574755452
19019,rural,0.17855826599580019
19021,rural,0.31186354336014904
19025,rural,0.16408002230618707
19027,rural,0.35914908919111854
19029,rural,0.23038253991392957
19033,rural,1.1687367893357827
19035,rural,0.19776993134736953
19037,rural,0.19726296799528426
19039,rural,0.1380828351971342
19041,rural,0.46314039324339784
19043,rural,0.2472741825887974
19045,rural,0.5354689744075454
19047,rural,0.22834100367478416
19049,urban,0.1031701111373812
19051,rural,0.11927022127237046
19053,rural,0.16179619659883862
19055,rural,0.25564274594746683
19057,rural,0.827494925463714
19059,rural,0.46211194367319575
19061,urban,0.94845443721864
19063,rural,0.3200152189391992
19065,rural,0.24631651960010892
19067,rural,0.3256134915462859
19069,rural,0.3089569828925677
19071,rural,0.29735554278613263
19073,rural,0.16377190145259682
19075,urban,0.14840076738955044
19077,urban,0.19507174022266732
19079,rural,0.26518058754445917
19081,rural,0.2666081755822432
19083,rural,0.1354796479048857
19085,urban,0.1931858944661009
19087,rural,0.23966234442250006
19089,rural,0.22170136184692338
19091,rural,0.2164976811378596
19093,rural,0.2550858305727605
19095,rural,0.17708451566129452
19097,rural,0.13924924881443557
19099,urban,0.49335350706222114
19101,rural,0.23540841983776328
19103,urban,1.7092215054910307
19105,urban,0.15233149279091016
19107,rural,0.11569575478024896
19109,rural,0.29563894957796555
19111,rural,0.43948057089192033
19113,urban,1.1279864414761396
19117,rural,0.12474960315757995
19119,rural,0.2130459798993487
19121,urban,0.13531005978717509
19123,rural,0.36889937789163707
19125,rural,0.21745866883585546
19127,rural,0.46702677876523985
19131,rural,0.14787242800500253
19133,rural,0.22862464301790855
19135,rural,0.1166265499459802
19137,rural,0.2749370476846674
19139,rural,0.38732194982414564
19143,rural,0.22822931554820816
19145,rural,0.2407151815020337
19147,rural,0.2711520778109193
19149,rural,0.21635627859542989
19151,rural,0.1380765372395441
19153,urban,2.484938753550634
19155,urban,1.6686790762252066
19157,rural,0.6240888754081098
19159,rural,0.15755483135222598
19161,rural,0.1169245283542966
19163,urban,2.5539493460151856
19165,rural,0.21728535510967711
19167,rural,0.258788032665357
19169,urban,0.8105355829822706
19175,rural,0.2614892151182535
19177,rural,0.22117532410270324
19179,rural,1.0524556001548746
19183,urban,0.19977306017809998
19185,rural,0.3141765436028226
19187,rural,0.7849353069537651
19191,rural,0.2359096552562152
19193,urban,1.6472069420006776
19197,rural,0.5778953193343348
20001,rural,0.33088259253716235
20003,rural,0.32356850995028397
20005,rural,0.43770852293577506
20007,rural,0.3373908469402257
20009,rural,0.38601709213251645
20011,rural,0.5580106081777053
20013,rural,0.4550916112176271
20015,urban,0.9366585875979002
20019,rural,0.3110798297756573
20021,urban,1.1092831668546919
20023,rural,0.23647289131775664
20025,rural,0.263816946024891
20027,rural,0.31461029311248
20029,rural,0.35951089529439867
20031,rural,0.31010697767881085
20033,rural,0.2639819435579086
20035,rural,0.6263126612001824
20037,rural,0.6220853685381261
20039,rural,0.24254079412653123
20041,rural,0.553801643496674
20045,urban,0.7264659784066368
20047,rural,0.38669233782708223
20051,rural,1.117331698674319
20053,rural,0.22722865232145928
20055,rural,1.092492931454228
20057,rural,1.1298370729759695
20059,rural,0.7155117134816052
20061,urban,0.7299355963224308
20063,rural,0.5751619645382817
20065,rural,0.24662843660779857
20067,rural,0.54202792949612
20071,rural,0.45029805336501394
20073,rural,0.48654857089158804
20075,rural,0.20947434132667903
20077,rural,0.19175259313484389
20079,urban,0.54458162276351
20081,rural,0.35821670078643647
20083,rural,0.41491906242804
20085,urban,0.19331879107326735
20087,urban,0.8500237209922465
20089,rural,0.28870539080769053
20091,urban,1.6320428279183006
20093,rural,0.5344017449703612
20095,rural,0.38511396969793305
20097,rural,0.16526647682595072
20099,rural,0.6692906776074776
20101,rural,0.28239534787060494
20103,urban,1.9790351990362864
20105,rural,0.39815077888943834
20109,rural,0.39577180589084904
20111,rural,0.46278433206612324
20113,rural,0.5737688431264776
20115,rural,0.4183376878210982
20117,rural,0.37035966234515166
20119,rural,0.4111230464208913
20121,urban,8.587219309833456
20123,rural,0.7333080942477759
20125,rural,0.6742915880651136
20127,rural,0.3091228500418879
20129,rural,0.45382222513117165
20131,rural,0.31569924321420934
20133,rural,0.6033505642525728
20135,rural,0.415948987170653
20137,rural,0.19102856367303
20141,rural,0.3306822286691209
20143,rural,0.5375861215650696
20145,rural,2.3848299756885063
20149,urban,0.22112829315858296
20151,rural,0.6669541189625082
20153,rural,0.39506493924016184
20155,rural,1.2748949946991817
20157,rural,0.4691128006825359
20159,rural,0.298387364374492
20161,urban,1.0742347692961958
20163,rural,0.3594377057099015
20165,rural,0.4808511039668864
20167,rural,0.3214622983677577
20169,rural,1.0812814482305684
20171,rural,0.36791027385271446
20173,urban,2.3929651783315196
20175,rural,1.2808280518891813
20177,urban,1.5503688931322843
20179,rural,0.6032553207638266
20181,rural,0.22487857112389387
20183,rural,0.3021329477421023
20185,rural,0.19224809305241913
20187,rural,0.3742360666156733
20189,rural,0.41972391363143996
20191,urban,0.4170660142917894
20193,rural,0.4650148097802858
20195,rural,0.5583981797422024
20201,rural,0.4617554362190387
20203,rural,0.3894527139184448
20205,rural,0.31485464729156026
20209,urban,3.262069482382297
21001,rural,0.3198212378050086
21003,urban,1.0933663163690894
21009,rural,0.7173751058915063
21013,rural,1.0322778448438248
21015,urban,1.583216764011762
21017,urban,1.674322470935639
21019,urban,1.463881678037034
21021,rural,3.5837468082428137
21025,rural,2.5785325752354273
21027,rural,0.5072824588549967
21033,rural,0.1832433181106512
21035,rural,0.9832744382976571
21037,urban,4.061422193725286
21041,rural,0.25974844160973276
21045,rural,0.6086000940894452
21047,urban,1.70031364756026
21049,urban,1.3062080311281115
21051,rural,0.8599231094267378
21053,rural,0.6696097273500314
21055,rural,0.744425701615797
21057,rural,0.2499554967447087
21059,urban,1.0775018363301816
21065,rural,0.769879746786989
21067,urban,1.9143471993684402
21069,rural,0.7072799592787898
21071,rural,1.301030893784853
21073,rural,3.140552838130272
21081,urban,0.11380312690294243
21083,rural,2.111571752610008
21085,rural,0.9455363604115096
21087,rural,0.545147781593079
21089,urban,1.4384498070807816
